topic_id,count,name,keywords,scores
55,4249,55_vocations_pes_vocation_combat,"vocations, pes, vocation, combat, b2, asa, b1, b4, storeman, infantry","0.0251, 0.0178, 0.0167, 0.0134, 0.0097, 0.0081, 0.0078, 0.0074, 0.0071, 0.0070"
56,3798,56_ippt_ptp_enlistment_pre,"ippt, ptp, enlistment, pre, pass, enlistee, date, passed, enlist, batch","0.0363, 0.0165, 0.0162, 0.0148, 0.0133, 0.0124, 0.0123, 0.0098, 0.0087, 0.0079"
57,3776,57_st_trooper_security_svc,"st, trooper, security, svc, cbt, 9sir, 8sir, idti, troopers, camps","0.0215, 0.0212, 0.0165, 0.0088, 0.0084, 0.0081, 0.0080, 0.0079, 0.0078, 0.0076"
59,1837,59_singtel_m1_starhub_data,"singtel, m1, starhub, data, sim, gomo, signal, wifi, tpg, reception","0.0488, 0.0367, 0.0273, 0.0269, 0.0249, 0.0216, 0.0203, 0.0193, 0.0189, 0.0162"
60,2504,60_guards_gcc_infantry_gvt,"guards, gcc, infantry, gvt, guardsman, gds, elite, heli, recon, guardsmen","0.0604, 0.0246, 0.0098, 0.0095, 0.0074, 0.0074, 0.0071, 0.0070, 0.0066, 0.0065"
61,4873,61_singapore_singaporeans_pap_government,"singapore, singaporeans, pap, government, sg, minister, singaporean, https, foreign, of","0.0136, 0.0083, 0.0072, 0.0055, 0.0053, 0.0049, 0.0049, 0.0045, 0.0043, 0.0042"
62,2015,62_signals_ic2_signal_stagmont,"signals, ic2, signal, stagmont, ic1, signaller, sig, signallers, posted, c4i","0.0401, 0.0326, 0.0285, 0.0271, 0.0230, 0.0226, 0.0210, 0.0112, 0.0105, 0.0105"
63,4863,63_enlistment_letter_date_cmpb,"enlistment, letter, date, cmpb, enlist, dates, april, jan, enlisted, july","0.0324, 0.0223, 0.0186, 0.0129, 0.0119, 0.0118, 0.0094, 0.0083, 0.0081, 0.0075"
64,3390,64_command_school_scs_commander,"command, school, scs, commander, ocs, leadership, sch, interest, go, man","0.0331, 0.0227, 0.0100, 0.0074, 0.0073, 0.0061, 0.0057, 0.0056, 0.0049, 0.0047"
65,2615,65_encik_fuck_enciks_he,"encik, fuck, enciks, he, muthu, him, ah, his, me, understand","0.1207, 0.0083, 0.0074, 0.0067, 0.0066, 0.0064, 0.0061, 0.0057, 0.0055, 0.0049"
66,1891,66_moonlighting_moonlight_cpf_business,"moonlighting, moonlight, cpf, business, caught, considered, income, money, tuition, work","0.0538, 0.0200, 0.0156, 0.0149, 0.0114, 0.0103, 0.0094, 0.0075, 0.0058, 0.0052"
67,4797,67_mental_health_help_anxiety,"mental, health, help, anxiety, depression, seek, issues, disorder, feel, thoughts","0.0183, 0.0137, 0.0105, 0.0102, 0.0099, 0.0087, 0.0063, 0.0060, 0.0056, 0.0055"
68,1759,68_gay_sexuality_declare_straight,"gay, sexuality, declare, straight, lgbt, homophobic, gays, 302, homosexuality, bi","0.0586, 0.0132, 0.0098, 0.0080, 0.0079, 0.0078, 0.0070, 0.0067, 0.0059, 0.0051"
69,2201,69_pay_10th_month_allowance,"pay, 10th, month, allowance, bank, paid, account, ocbc, receive, dbs","0.0357, 0.0339, 0.0253, 0.0247, 0.0167, 0.0144, 0.0124, 0.0120, 0.0115, 0.0096"
70,1751,70_eczema_skin_condition_mo,"eczema, skin, condition, mo, specialist, memo, downpes, nsc, dermatologist, pes","0.0585, 0.0293, 0.0112, 0.0099, 0.0097, 0.0094, 0.0089, 0.0085, 0.0082, 0.0080"
